date       time    	Air_Temp	Barometric_Press	Dew_Point	Relative_Humidity	Wind_Dir	Wind_Gust	Wind_Speed
2009_01_01 00:03:43	35.50	30.00	25.30	66.00	221.40	35.00	11.00
2009_01_01 00:10:59	35.40	30.00	24.80	64.80	238.80	29.00	17.60
2009_01_01 00:17:15	34.90	30.00	24.80	66.20	213.20	18.00	 9.20
2009_01_01 00:23:34	34.90	30.00	26.10	69.80	209.00	23.00	13.20
2009_01_01 00:29:50	35.00	30.00	25.80	68.80	218.60	27.00	17.60
2009_01_01 00:36:06	35.00	30.00	25.90	69.20	205.80	27.00	21.00
2009_01_01 00:42:21	34.90	30.00	26.30	70.40	206.40	33.00	15.60
2009_01_01 00:48:37	34.90	30.00	26.40	71.00	232.60	28.00	15.80
2009_01_01 00:54:53	34.70	30.00	26.30	71.20	215.40	23.00	13.60
2009_01_01 01:01:08	34.30	30.00	25.80	71.00	209.40	32.00	18.00
2009_01_01 01:07:25	34.00	30.00	27.30	76.40	206.40	30.00	16.60
2009_01_01 01:13:41	33.60	30.00	27.30	77.40	223.40	33.00	14.00
2009_01_01 01:19:57	33.10	30.00	27.00	78.00	236.60	23.00	10.20
2009_01_01 01:26:13	33.10	30.00	27.20	78.60	236.00	18.00	 7.60
2009_01_01 01:32:29	33.10	30.00	26.60	76.80	199.80	19.00	 8.20
2009_01_01 01:38:46	33.30	30.00	26.70	76.40	192.40	29.00	 9.60
2009_01_01 01:45:02	33.90	30.00	26.80	75.00	211.40	25.00	17.20
2009_01_01 01:51:20	34.50	29.90	27.80	76.40	225.40	16.00	13.40
2009_01_01 01:57:36	34.40	29.90	28.20	77.60	178.00	14.00	 8.80
2009_01_01 02:03:53	34.30	29.90	28.30	78.40	133.60	10.00	 7.00
2009_01_01 02:10:10	34.10	29.90	27.70	77.20	137.40	 7.00	 4.20
2009_01_01 02:16:26	34.00	29.90	27.60	77.00	138.20	 9.00	 5.20
2009_01_01 02:22:41	33.90	29.90	28.40	79.80	157.00	17.00	12.80
2009_01_01 02:28:58	33.60	29.90	28.80	82.40	149.00	21.00	13.00
2009_01_01 02:35:15	33.50	29.90	29.00	83.20	160.80	17.00	12.80
2009_01_01 02:41:30	33.60	29.90	29.20	83.60	146.40	16.00	 9.40
2009_01_01 02:47:46	33.50	29.90	29.00	83.20	163.20	14.00	 9.60
2009_01_01 02:54:01	33.40	29.90	29.20	84.20	166.00	16.00	11.00
2009_01_01 03:00:17	33.40	29.90	29.10	84.00	183.20	16.00	10.20
2009_01_01 03:06:35	33.30	29.90	29.10	84.40	174.00	14.00	12.40
2009_01_01 03:12:50	33.10	29.90	29.00	84.80	187.40	12.00	 8.00
2009_01_01 03:19:06	33.30	29.90	29.10	84.40	200.20	21.00	14.20
2009_01_01 03:25:22	33.20	29.90	28.70	83.20	217.00	21.00	10.80
2009_01_01 03:31:37	33.10	29.90	28.60	83.40	213.80	14.00	10.60
2009_01_01 03:37:53	33.20	29.90	29.20	85.00	178.00	12.00	 8.00
2009_01_01 03:44:09	32.80	29.90	29.50	87.40	130.20	14.00	 8.80
2009_01_01 03:50:25	32.30	29.90	29.50	89.20	143.40	12.00	 4.40
2009_01_01 03:56:42	31.80	29.90	29.50	91.00	133.40	 6.00	 4.80
2009_01_01 04:04:01	31.60	29.90	30.00	93.60	130.60	 6.00	 3.80
2009_01_01 04:10:19	31.50	29.90	30.20	95.00	151.20	 5.00	 3.00
2009_01_01 04:16:36	31.20	29.90	30.00	95.40	160.40	 6.00	 4.60
2009_01_01 04:22:55	30.80	29.90	30.10	97.00	156.00	 6.00	 3.80
2009_01_01 04:29:11	30.50	29.90	30.30	99.20	158.60	 6.00	 4.40
2009_01_01 04:35:28	30.10	29.90	30.10	100.00	140.60	 6.00	 3.60
2009_01_01 04:41:44	30.10	29.90	30.10	100.00	151.00	 6.00	 4.40
2009_01_01 04:48:01	30.10	29.90	30.10	100.00	174.80	 6.00	 4.00
2009_01_01 04:54:18	30.10	29.90	30.10	100.00	169.80	 5.00	 3.80
2009_01_01 05:00:35	30.10	29.90	30.10	100.00	175.60	 5.00	 2.80
2009_01_01 05:06:52	30.00	29.90	30.00	100.00	182.80	 3.00	 1.80
2009_01_01 05:13:08	30.10	29.90	30.10	100.00	235.00	 5.00	 3.40
2009_01_01 05:19:24	30.10	29.90	30.10	100.00	235.00	 5.00	 2.80
2009_01_01 05:25:40	30.10	29.90	30.10	100.00	235.00	 4.00	 2.80
2009_01_01 05:31:56	30.10	29.90	30.10	100.00	236.00	 5.00	 3.00
2009_01_01 05:38:13	30.30	29.90	30.30	100.00	251.80	 5.00	 2.80
2009_01_01 05:44:29	30.10	29.90	30.10	100.00	251.20	 4.00	 2.00
2009_01_01 05:50:45	30.10	29.90	30.10	100.00	251.00	 3.00	 0.80
2009_01_01 05:57:01	30.00	29.90	30.00	100.00	251.00	 2.00	 0.20
2009_01_01 06:03:18	30.10	29.80	30.10	100.00	251.40	 3.00	 1.40
2009_01_01 06:09:37	30.10	29.80	30.10	100.00	251.60	 2.00	 0.60
2009_01_01 06:15:54	30.10	29.80	30.10	100.00	251.00	 2.00	 0.40
2009_01_01 06:22:10	30.10	29.80	30.10	100.00	251.00	 3.00	 1.20
2009_01_01 06:28:26	30.10	29.80	30.10	100.00	251.40	 1.00	 0.00
2009_01_01 06:41:01	30.30	29.80	30.30	100.00	251.60	 2.00	 0.80
2009_01_01 06:47:19	30.30	29.80	30.30	100.00	251.20	 2.00	 0.20
2009_01_01 06:53:36	30.40	29.80	30.40	100.00	251.60	 2.00	 1.20
2009_01_01 06:59:52	30.40	29.80	30.40	100.00	251.60	 2.00	 0.00
2009_01_01 07:44:01	30.60	29.80	30.60	100.00	306.40	 3.00	 1.40
2009_01_01 07:50:20	30.70	29.80	30.70	100.00	343.00	 3.00	 1.20
2009_01_01 07:56:37	30.70	29.80	30.70	100.00	339.80	 3.00	 1.60
2009_01_01 08:02:57	30.80	29.70	30.80	100.00	330.60	 3.00	 1.20
2009_01_01 08:09:15	30.90	29.70	30.90	100.00	325.00	 2.00	 1.40
2009_01_01 08:15:33	30.80	29.70	30.80	100.00	325.00	 2.00	 1.60
2009_01_01 08:21:51	30.80	29.70	30.80	100.00	325.00	 3.00	 1.80
2009_01_01 08:28:09	30.90	29.70	30.90	100.00	325.40	 3.00	 2.00
2009_01_01 08:34:27	30.90	29.70	30.90	100.00	328.60	 4.00	 2.40
2009_01_01 08:40:46	30.90	29.70	30.90	100.00	334.40	 4.00	 2.20
2009_01_01 08:47:11	31.00	29.70	31.00	100.00	331.00	 3.00	 2.60
2009_01_01 08:53:29	31.00	29.70	31.00	100.00	327.80	 4.00	 3.80
2009_01_01 08:59:51	31.20	29.70	31.20	100.00	147.60	 6.00	 3.80
2009_01_01 09:06:27	31.20	29.70	31.20	100.00	11.00	 6.00	 4.20
2009_01_01 09:12:47	31.20	29.70	31.20	100.00	285.00	 5.00	 4.20
2009_01_01 09:19:07	31.20	29.70	31.20	100.00	11.40	 5.00	 2.60
2009_01_01 09:25:26	31.20	29.70	31.20	100.00	359.00	 5.00	 3.40
2009_01_01 09:31:47	31.20	29.70	31.20	100.00	23.80	 6.00	 4.60
2009_01_01 09:38:07	31.20	29.70	31.20	100.00	28.20	 7.00	 5.20
2009_01_01 09:44:26	31.20	29.70	31.20	100.00	27.20	 7.00	 4.40
2009_01_01 09:50:47	31.20	29.70	31.20	100.00	12.20	 5.00	 4.20
2009_01_01 09:57:10	31.20	29.70	31.20	100.00	10.00	 4.00	 3.00
2009_01_01 10:03:30	31.20	29.70	31.20	100.00	14.60	 5.00	 3.40
2009_01_01 10:09:50	31.30	29.70	31.30	100.00	13.00	 5.00	 2.80
2009_01_01 10:16:11	31.20	29.70	31.20	100.00	286.00	 5.00	 3.20
2009_01_01 10:22:33	31.20	29.60	31.20	100.00	357.00	 3.00	 1.60
2009_01_01 10:28:53	31.30	29.60	31.30	100.00	358.00	 3.00	 1.60
2009_01_01 10:35:14	31.20	29.60	31.20	100.00	355.00	 3.00	 0.60
2009_01_01 10:41:34	31.20	29.60	31.20	100.00	355.00	 3.00	 1.40
2009_01_01 10:47:55	31.30	29.60	31.30	100.00	355.00	 3.00	 1.60
2009_01_01 10:54:19	31.30	29.60	31.30	100.00	355.00	 4.00	 2.40
2009_01_01 11:00:38	31.30	29.60	31.30	100.00	355.00	 4.00	 2.60
2009_01_01 11:06:59	31.50	29.60	31.50	100.00	351.00	 4.00	 2.60
2009_01_01 11:13:20	31.50	29.60	31.50	100.00	352.00	 4.00	 3.20
2009_01_01 11:19:43	31.60	29.60	31.60	100.00	88.80	 5.00	 3.40
2009_01_01 11:26:04	31.50	29.60	31.50	100.00	24.60	 4.00	 2.80
2009_01_01 11:32:25	31.50	29.60	31.50	100.00	25.00	 4.00	 2.40
2009_01_01 11:38:49	31.60	29.60	31.60	100.00	30.00	 4.00	 2.20
2009_01_01 11:45:09	31.60	29.60	31.60	100.00	31.20	 5.00	 3.80
2009_01_01 11:51:32	31.80	29.60	31.80	100.00	26.80	 5.00	 2.60
2009_01_01 11:57:54	31.60	29.60	31.60	100.00	32.00	 4.00	 2.20
2009_01_01 12:04:14	31.60	29.50	31.60	100.00	214.80	 5.00	 2.80
2009_01_01 12:10:34	31.80	29.50	31.80	100.00	360.00	 5.00	 3.20
2009_01_01 12:16:52	31.80	29.50	31.80	100.00	360.00	 4.00	 2.00
2009_01_01 12:23:11	31.80	29.50	31.80	100.00	360.00	 4.00	 2.80
2009_01_01 12:29:32	31.80	29.50	31.80	100.00	360.00	 4.00	 2.40
2009_01_01 12:35:52	31.80	29.50	31.80	100.00	360.00	 4.00	 1.20
2009_01_01 12:42:11	31.80	29.50	31.80	100.00	360.00	 4.00	 2.60
2009_01_01 12:48:30	31.80	29.50	31.80	100.00	360.00	 4.00	 2.40
2009_01_01 12:54:49	31.80	29.50	31.80	100.00	360.00	 3.00	 0.00
2009_01_01 15:45:16	33.20	29.50	33.20	100.00	252.00	 3.00	 0.60
2009_01_01 15:51:35	33.20	29.50	33.20	100.00	233.20	 7.00	 3.60
2009_01_01 15:57:57	34.30	29.50	34.30	100.00	242.60	12.00	 6.60
2009_01_01 16:04:21	34.50	29.50	34.50	100.00	172.60	28.00	 8.80
2009_01_01 16:10:40	36.40	29.50	36.40	100.00	219.60	28.00	 9.60
2009_01_01 16:18:38	37.10	29.50	37.00	99.60	179.60	31.00	16.00
2009_01_01 16:25:12	38.30	29.50	38.00	99.00	153.20	41.00	28.00
2009_01_01 16:31:35	38.50	29.50	38.00	98.20	176.80	49.00	26.60
2009_01_01 16:38:03	38.50	29.50	38.00	98.20	178.80	52.00	24.00
2009_01_01 16:44:20	38.60	29.50	38.00	97.80	162.60	50.00	25.60
2009_01_01 16:50:37	38.60	29.50	37.90	97.20	172.20	54.00	19.00
2009_01_01 16:56:55	38.80	29.50	38.20	97.80	176.40	46.00	25.80
2009_01_01 17:03:15	38.80	29.50	38.10	97.40	184.80	51.00	22.40
2009_01_01 17:09:36	38.90	29.50	38.20	97.20	167.20	53.00	29.20
2009_01_01 17:15:54	38.80	29.50	38.20	97.80	165.80	53.00	28.60
2009_01_01 17:22:18	38.80	29.50	38.10	97.20	157.00	46.00	24.80
2009_01_01 17:28:39	38.80	29.50	38.10	97.60	178.00	48.00	24.00
2009_01_01 17:34:56	38.80	29.50	38.20	97.60	169.00	49.00	27.60
2009_01_01 17:41:17	38.90	29.50	38.20	97.60	185.20	44.00	19.80
2009_01_01 17:47:37	38.90	29.50	38.20	97.20	185.20	54.00	26.20
2009_01_01 17:54:01	39.00	29.50	38.10	96.60	184.60	50.00	20.40
2009_01_01 18:00:25	39.10	29.50	38.20	96.60	171.20	50.00	25.00
2009_01_01 18:06:45	39.10	29.50	38.30	97.00	169.80	43.00	23.80
2009_01_01 18:13:03	39.10	29.50	38.40	97.60	184.80	48.00	21.00
2009_01_01 18:19:23	39.00	29.50	38.40	97.80	174.80	40.00	22.60
2009_01_01 18:25:42	38.90	29.50	38.40	98.20	171.20	42.00	20.40
2009_01_01 18:31:58	38.90	29.50	38.40	98.00	160.20	40.00	24.20
2009_01_01 18:38:21	38.90	29.50	38.40	98.20	172.20	51.00	23.60
2009_01_01 18:44:39	38.90	29.50	38.40	98.20	171.20	45.00	21.80
2009_01_01 18:51:01	38.90	29.50	38.30	97.80	168.00	45.00	23.60
